ID,PUP Branch and Campuses ,Program / Course,Year Level ,What are your Current Specialization or Fields of Interests?,Technologies/Frameworks you're familiar with,How stable would you rate your internet connection at home?
1,"Sta. Mesa,  Manila (MAIN)",Diploma in Information Communication Technology,3rd Year,"Data Science & AI, Web Development, Mobile Development, Cybersecurity","-HTML
-CSS
-Python",4
2,"Sta. Mesa,  Manila (MAIN)",BS Information Technology,3rd Year,"Graphics/Games Related Development, Human Computer  Interaction / UI & UX Engineering","- JavaScript
- Python
- HTML/CSS",5
3,San Juan (Branch),BS Information Technology,3rd Year,Web Development,"- HTML & CSS
- Python 
- Java 
- Javascript
- C
- SQL",3
4,Sta Rosa (BRANCH),BS Information Technology,2nd Year,"Web Development, Graphics/Games Related Development","-HTML
-JavaScript
-COBOL
-PHP
-Python
-C#",3
5,"Sta. Mesa,  Manila (MAIN)",BS Computer Science ,2nd Year,"Mobile Development, Graphics/Games Related Development, Desktop Development","- HTML
- CSS
- SASS
- Python
- Flutter 
- Java
- PHP
- MySQL",4
6,"Sta. Mesa,  Manila (MAIN)",BS Information Technology,2nd Year,"Web Development, Mobile Development, Graphics/Games Related Development, Human Computer  Interaction / UI & UX Engineering","- HTML
- PHP
- Laravel
- SQL",5
7,Sta Rosa (BRANCH),BS Computer Engineering,3rd Year,"Web Development, Mobile Development, Cybersecurity","-Django
-Python",5
8,San Juan (Branch),BS Computer Science,2nd Year,"Web Development, Graphics/Games Related Development","- MongoDB
- Express
- Node.js
- cURL
- WSL
- Heroku",5
9,"Sta. Mesa,  Manila (MAIN)",BS Information Technology,3rd Year,Cybersecurity,"- python
- PHP
- java
- javascript
- nodejs
- C
- cobol
- HTML
- CSS",5
10,"Sta. Mesa,  Manila (MAIN)",BS Computer Science,2nd Year,"Data Science & AI, Web Development","- MongoDB
- Express
- Node.js
- cURL
- WSL
- Heroku",4
11,"Sta. Mesa,  Manila (MAIN)",BS Information Technology,4th Year,"Graphics/Games Related Development, Human Computer  Interaction / UI & UX Engineering","-HTML
-JavaScript
-COBOL
-PHP
-Python
-C#",5
12,"Sta. Mesa,  Manila (MAIN)",BS Computer Sciene,3rd Year,"Web Development, Graphics/Games Related Development","*Java 
*HTML
*CSS
*Python",4
13,"Sta. Mesa,  Manila (MAIN)",BS Information Technology ,4th Year,Web Development,Python & HTML,3
14,"Sta. Mesa,  Manila (MAIN)",BS Information Technology,3rd Year,"Web Development, Human Computer  Interaction / UI & UX Engineering","- Python
- Java
- C++
- C
- SQL
- HTML and CSS",3
15,"Sta. Mesa,  Manila (MAIN)",BS Information Technology ,3rd Year,Mobile Development,"HTML
PHP
Java
",3
16,"Sta. Mesa,  Manila (MAIN)",BS Computer Science,2nd Year,"Web Development, Human Computer  Interaction / UI & UX Engineering","- HTML
- Python
- C++
- JavaScript",4
17,"Sta. Mesa,  Manila (MAIN)",BS Information Technology,3rd Year,"Web Development, Mobile Development","-HTML & CSS 
-JavaScript 
-Python
-Java",4
18,"Sta. Mesa,  Manila (MAIN)",BS Information Technology,3rd Year,"Data Science & AI, Networks Engineering","- VB.Net
- HTML",3
19,"Sta. Mesa,  Manila (MAIN)",BS Information Technology ,3rd Year,Web Development,"- HTML
- CSS
- PYTHON",4
20,Sta Rosa (BRANCH),BS Computer Science,3rd Year,"Web Development, Mobile Development, Graphics/Games Related Development, Cybersecurity","- GitHub/Git
- MSYS2
- .Net
- Python
- C/C++
- Java
- HTML
- CSS",4
21,Sta Rosa (BRANCH),BS Computer Science,2nd Year,"Data Science & AI, Web Development, Mobile Development","-HTML
-Java
-Flutter
-Python
-CSS
-Javascript
-Ruby",4
22,Sta Rosa (BRANCH),BS Information Technology,2nd Year,Web Development,"Python
HTML
Flask
JavaScript
Java
PHP
CSS ",3
23,"Sta. Mesa,  Manila (MAIN)",BS Computer Science,2nd Year,Web Development,Java,4
24,"Sta. Mesa,  Manila (MAIN)",BS Computer Science,3rd Year,"Data Science & AI, Web Development, Mobile Development, Graphics/Games Related Development, Cybersecurity","- html
- r
- canva
- adobe photoshop
- adobe illustrator
- figma",4
25,Sta Rosa (BRANCH),BS Computer Engineering ,3rd Year,Web Development,"- Typescript
- React
- NextJS
- Firebase
- Supabase
- ExpressJS
- MaterialUI
- Mantine
- TailwindCSS
- Python
- scrapy
- beautifulsoup4
- SQL
- PostgreSQL
- MySQL",4
26,Sta Rosa (BRANCH),Diploma in Computer Engineering Technology,3rd Year,"Web Development, Mobile Development, Cybersecurity","-RCloud
-Looker",2
27,"Sta. Mesa,  Manila (MAIN)",BS Computer Science,3rd Year,Web Development,"-Python
-C
-C++",5
28,"Sta. Mesa,  Manila (MAIN)",BS Information Technology,3rd Year,"Networks Engineering, Web Development, Mobile Development","• HTML
• Python
• Django
• PHP
• Java",4
29,San Juan (Branch),BS Information Technology ,4th Year,"Graphics/Games Related Development, Human Computer  Interaction / UI & UX Engineering","- Python
- C++
- HTML
- CSS
- Javascript
- Java
- bootstrap",4
30,"Sta. Mesa,  Manila (MAIN)",Bachelor in Applied Statistics,3rd Year,"Web Development, Mobile Development, Graphics/Games Related Development",- Python,3
31,"Sta. Mesa,  Manila (MAIN)",BS Information Technology ,2nd Year,Web Development,"- C
- Java
- HTML
- CSS
- Javascript",4
32,"Sta. Mesa,  Manila (MAIN)",BS Computer Science,3rd Year,"Networks Engineering, Web Development, Graphics/Games Related Development, Cybersecurity, IT support","-HTML and CSS
-C
-Wix
-Android studio and flutter",4
33,"Sta. Mesa,  Manila (MAIN)",BS Computer Science,2nd Year,"Web Development, Graphics/Games Related Development, Human Computer  Interaction / UI & UX Engineering","-Java
-VB.Net
-C
-Python",3
34,"Sta. Mesa,  Manila (MAIN)",BS Information Technology ,2nd Year,"Data Science & AI, Graphics/Games Related Development, Human Computer  Interaction / UI & UX Engineering","- HTML & CSS
- UI/UX",4
35,San Juan (Branch),BS Information Technology,3rd Year,Web Development,"-HTML
-Python
-Bash
-A bit of Powershell
-C#
-Unity Engine
-Java",4
36,San Juan (Branch),BS Information Technology,4th Year,"Data Science & AI, Web Development, Cybersecurity","- Python
- Java
- C
- C++
- Html
- Css
- Javascript
- Kotlin",4
37,"Sta. Mesa,  Manila (MAIN)",BS Information Technology,4th Year,"Data Science & AI, Networks Engineering, Web Development, Cybersecurity, Human Computer  Interaction / UI & UX Engineering","-HTML & CSS
-Javascript
-Python
-SQL",4
38,San Juan (Branch),BS Computer Science ,2nd Year,"Data Science & AI, Networks Engineering, Mobile Development, Cybersecurity","- HTML 
- CSS 
- JavaScript
- Python
- Java
- COBOL
- C
- Django",3
39,"Sta. Mesa,  Manila (MAIN)",BS Information Technology,4th Year,"Data Science & AI, Web Development","HTML/CSS, Python, Java",4
40,San Juan (Branch),BS Information Technology,3rd Year,"Data Science & AI, Web Development, Cybersecurity","- HTML
- Java
- Python
- CSS
- PHP
- MySQL
- COBOL
- C
- VB.Net",5
41,"Sta. Mesa,  Manila (MAIN)",BS Information Technology,2nd Year,"Web Development, Cybersecurity","- C#
- Python
- Java",4
42,San Juan (Branch),BS Information Technology,3rd Year,"Data Science & AI, Graphics/Games Related Development","-C
-C++
-Python
-HTML",3
43,Sta Rosa (BRANCH),BS Information Technology,3rd Year,"Data Science & AI, Networks Engineering, Web Development, Mobile Development, Graphics/Games Related Development, Cybersecurity, Human Centered  Interaction / UI & UX Engineering","- Python
- Java
- HTML
- PHP
- Java Script",3
44,Sta Rosa (BRANCH),BS Computer Science,3rd Year,Data Science & AI,Python & HTML,3
45,San Juan (Branch),BS Information Technology ,2nd Year,"Web Development, Mobile Development, Cybersecurity","- Python
- C
- Java
- HTML
- CSS",4
46,"Sta. Mesa,  Manila (MAIN)",BS Information Technology,4th Year,"Web Development, Human Computer  Interaction / UI & UX Engineering","- Python
- C
- Java",3
47,"Sta. Mesa,  Manila (MAIN)",BS Information Technology ,4th Year,"Data Science & AI, Networks Engineering, Web Development, Mobile Development, Cybersecurity","-Java
-C
-C++",3
